zip_code,crime_type,family_violence,occ_date,time_occ,latitude,longitude
78613,FALSE REPORT TO PEACE OFFICER,1,1,1,1,1
78613,FAMILY DISTURBANCE,81,81,81,81,81
78613,FAMILY DISTURBANCE/PARENTAL,1,1,1,1,1
78613,FELONY ENHANCEMENT/ASSLT W/INJ,2,2,2,2,2
78613,FORGERY AND PASSING,4,4,4,4,4
78613,FORGERY BY MAKING,1,1,1,1,1
78613,FRAUD - OTHER,11,11,11,11,11
78613,GRAFFITI,2,2,2,2,2
78613,HARASSMENT,18,18,18,18,18
78613,IDENTITY THEFT,15,15,15,15,15
78613,INDECENT ASSAULT,2,2,2,2,2
78613,INDECENT EXPOSURE,9,9,9,9,9
78613,INJ TO ELDERLY   FAM/DATE VIOL,1,1,1,1,1
78613,INJURY TO CHILD,2,2,2,2,2
78613,INJURY TO ELDERLY PERSON,1,1,1,1,1
78613,INTERFERING W/EMERG PHONE CALL,2,2,2,2,2
78613,MAIL THEFT,2,2,2,2,2
78613,POSS CONTROLLED SUB/NARCOTIC,4,4,4,4,4
78613,POSS CONTROLLED SUB/SYN NARC,1,1,1,1,1
78613,POSS OF ALCOHOL - AGE 17 TO 20,1,1,1,1,1
78613,POSS OF DRUG PARAPHERNALIA,2,2,2,2,2
78613,POSSESSION OF MARIJUANA,2,2,2,2,2
78613,PUBLIC INTOXICATION,10,10,10,10,10
78613,ROBBERY BY ASSAULT,2,2,2,2,2
78613,ROBBERY BY THREAT,1,1,1,1,1
78613,RUNAWAY CHILD,9,9,9,9,9
78613,STALKING,1,1,1,1,1
78613,SUSPICIOUS PERSON,14,14,14,14,14
78613,TERRORISTIC THREAT,5,5,5,5,5
78613,THEFT,74,74,74,74,74
78613,THEFT BY SHOPLIFTING,137,137,137,137,137
78613,THEFT CATALYTIC CONVERTER,17,17,17,17,17
78613,THEFT FROM AUTO,4,4,4,4,4
78613,THEFT FROM BUILDING,1,1,1,1,1
78613,THEFT FROM PERSON,3,3,3,3,3
78613,THEFT OF BICYCLE,11,11,11,11,11
78613,THEFT OF LICENSE PLATE,7,7,7,7,7
78613,THEFT OF SERVICE,3,3,3,3,3
78613,THEFT OF TRAILER,3,3,3,3,3
78613,THEFT-NO SUSPECT/FOLLOWUP,1,1,1,1,1
78613,UNLAWFUL CARRYING WEAPON,2,2,2,2,2
78613,VIOL OF PROTECTIVE ORDER,1,1,1,1,1
78613,VIOL STATE LAW - OTHER,1,1,1,1,1
78616,ASSAULT W/INJURY-FAM/DATE VIOL,1,1,1,1,1
78617,AGG ASLT ENHANC STRANGL/SUFFOC,3,3,3,3,3
78617,AGG ASLT STRANGLE/SUFFOCATE,11,11,11,11,11
78617,AGG ASLT W/MOTOR VEH FAM/DAT V,1,1,1,1,1
78617,AGG ASSAULT,19,19,19,19,19
78617,AGG ASSAULT FAM/DATE VIOLENCE,16,16,16,16,16
78617,AGG ASSAULT WITH MOTOR VEH,2,2,2,2,2
78617,AGG ROBBERY/DEADLY WEAPON,7,7,7,7,7
78617,ARSON,3,3,3,3,3
78617,ASSAULT BY CONTACT,46,46,46,46,46
78617,ASSAULT BY CONTACT FAM/DATING,30,30,30,30,30
78617,ASSAULT BY THREAT,43,43,43,43,43
78617,ASSAULT BY THREAT FAM/DATING,7,7,7,7,7
78617,ASSAULT OF PREGNANT WM-FAM/DAT,3,3,3,3,3
78617,ASSAULT ON PUBLIC SERVANT,1,1,1,1,1
78617,ASSAULT W/INJURY-FAM/DATE VIOL,106,106,106,106,106
78617,ASSAULT WITH INJURY,71,71,71,71,71
78617,AUTO THEFT,71,71,71,71,71
78617,BREACH OF COMPUTER SECURITY,1,1,1,1,1
78617,BURG OF RES - FAM/DATING ASLT,1,1,1,1,1
78617,BURGLARY NON RESIDENCE,21,21,21,21,21
78617,BURGLARY OF COIN-OP MACHINE,2,2,2,2,2
78617,BURGLARY OF RESIDENCE,17,17,17,17,17
78617,BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,13,13,13,13,13
78617,BURGLARY OF VEH-NO SUSPECT/FU,15,15,15,15,15
78617,BURGLARY OF VEHICLE,57,57,57,57,57
78617,CHILD CUSTODY INTERFERE,25,25,25,25,25
78617,CHILD ENDANGERMENT- ABANDONMEN,1,1,1,1,1
78617,COUNTERFEITING,1,1,1,1,1
78617,CRASH/FAIL STOP AND RENDER AID,7,7,7,7,7
78617,CRED CARD ABUSE - OTHER,9,9,9,9,9
78617,CRIMINAL MISCHIEF,88,88,88,88,88
78617,CRIMINAL MISCHIEF BY ARSON,1,1,1,1,1
78617,CRIMINAL MISCHIEF-NO SUSPECT,5,5,5,5,5
78617,CRIMINAL SOLICITATION,1,1,1,1,1
78617,CRIMINAL TRESPASS,26,26,26,26,26
78617,CRIMINAL TRESPASS/HOTEL,1,1,1,1,1
78617,CRIMINAL TRESPASS/TRANSIENT,1,1,1,1,1
78617,CRUELTY TO ANIMALS,6,6,6,6,6
78617,CUSTODY ARREST TRAFFIC WARR,2,2,2,2,2
78617,DAMAGE CITY PROP,1,1,1,1,1
78617,DAMAGE CITY VEHICLE,1,1,1,1,1
78617,DATING DISTURBANCE,21,21,21,21,21
78617,DEADLY CONDUCT,9,9,9,9,9
78617,DEBIT CARD ABUSE,14,14,14,14,14
78617,DEL CONTROLLED SUB/NARCOTIC,2,2,2,2,2
78617,DISTURBANCE - OTHER,35,35,35,35,35
78617,DOC ABUSIVE LANGUAGE,1,1,1,1,1
78617,DOC DISCHARGE GUN - PUB PLACE,9,9,9,9,9
78617,DOC DISCHARGE GUN - PUB ROAD,2,2,2,2,2
78617,DOC DISPLAY GUN/DEADLY PUB PLC,1,1,1,1,1
78617,DOC EXPOSURE,2,2,2,2,2
78617,DOC FIGHTING,5,5,5,5,5
78617,DRIVING WHILE INTOX / FELONY,4,4,4,4,4
78617,DWI,25,25,25,25,25
78617,DWI  .15 BAC OR ABOVE,6,6,6,6,6
78617,DWI - DRUG RECOGNITION EXPERT,1,1,1,1,1
78617,DWI 2ND,6,6,6,6,6
78617,EVADING / FOOT,2,2,2,2,2
78617,EVADING / VEHICLE PURSUIT,2,2,2,2,2
78617,EVADING VEHICLE,1,1,1,1,1
78617,FAILURE TO IDENTIFY,2,2,2,2,2
78617,FALSE REPORT TO PEACE OFFICER,1,1,1,1,1
78617,FAMILY DISTURBANCE,284,284,284,284,284
78617,FAMILY DISTURBANCE/PARENTAL,30,30,30,30,30
78617,FELONY ENHANCEMENT/ASSLT W/INJ,5,5,5,5,5
78617,FORGERY - OTHER,1,1,1,1,1
78617,FORGERY AND PASSING,4,4,4,4,4
78617,FRAUD - OTHER,24,24,24,24,24
78617,HARASSMENT,52,52,52,52,52
78617,HARBORING RUNAWAY CHILD,2,2,2,2,2
78617,IDENTITY THEFT,23,23,23,23,23
78617,INDECENT ASSAULT,8,8,8,8,8
78617,INDECENT EXPOSURE,4,4,4,4,4
78617,INJURY TO CHILD,5,5,5,5,5
78617,INJURY TO CHILD (CARE/CUSTODY),1,1,1,1,1
78617,INJURY TO ELDERLY PERSON,1,1,1,1,1
78617,INTER EMERG PHONECALL FAM/DATE,2,2,2,2,2
78617,LIQUOR LAW VIOLATION/OTHER,1,1,1,1,1
78617,LITTERING,1,1,1,1,1
78617,MAIL THEFT,7,7,7,7,7
78617,OBSCENE DISPLAY - DISTRIBUTION,1,1,1,1,1
78617,ONLINE IMPERSONATION,1,1,1,1,1
78617,ONLINE SOLICITATION OF A MINOR,1,1,1,1,1
78617,PAROLE VIOL,10,10,10,10,10
78617,POSS CONTROLLED SUB/NARCOTIC,17,17,17,17,17
78617,POSS CONTROLLED SUB/SYN NARC,1,1,1,1,1
78617,POSS OF DRUG PARAPHERNALIA,1,1,1,1,1
78617,POSS OF FIREARM BY FELON,3,3,3,3,3
78617,POSSESSION OF MARIJUANA,3,3,3,3,3
78617,PROTECTIVE ORDER,8,8,8,8,8
78617,PUBLIC INTOX-SOBERING CENTER,1,1,1,1,1
78617,PUBLIC INTOXICATION,11,11,11,11,11
78617,RECKLESS DAMAGE,2,2,2,2,2
78617,RENTAL CAR/FAIL TO RETURN,1,1,1,1,1
78617,REPEAT RUNAWAY,1,1,1,1,1
78617,RESISTING ARREST OR SEARCH,4,4,4,4,4
78617,ROBBERY BY THREAT,1,1,1,1,1
78617,RUNAWAY CHILD,49,49,49,49,49
78617,SUSPICIOUS PERSON,12,12,12,12,12
78617,TERRORISTIC THREAT,12,12,12,12,12
78617,TERRORISTIC THREAT-FAM/DAT VIO,3,3,3,3,3
78617,THEFT,74,74,74,74,74
78617,THEFT BY SHOPLIFTING,5,5,5,5,5
78617,THEFT CATALYTIC CONVERTER,21,21,21,21,21
78617,THEFT FROM AUTO,10,10,10,10,10
78617,THEFT FROM BUILDING,6,6,6,6,6
78617,THEFT FROM PERSON,2,2,2,2,2
78617,THEFT OF AUTO PARTS,4,4,4,4,4
78617,THEFT OF BICYCLE,1,1,1,1,1
78617,THEFT OF HEAVY EQUIPMENT,1,1,1,1,1
78617,THEFT OF LICENSE PLATE,5,5,5,5,5
78617,THEFT OF METAL,3,3,3,3,3
78617,THEFT OF SERVICE,4,4,4,4,4
78617,THEFT OF TRAILER,4,4,4,4,4
78617,THEFT-NO SUSPECT/FOLLOWUP,2,2,2,2,2
78617,UNLAWFUL RESTRAINT,1,1,1,1,1
78617,UNLAWFUL RESTRAINT FAM/DAT VIO,1,1,1,1,1
78617,VIOL CITY ORDINANCE - DOG,1,1,1,1,1
78617,VIOL CITY ORDINANCE - OTHER,1,1,1,1,1
78617,VIOL CITY ORDINANCE - WRECKER,1,1,1,1,1
78617,VIOL OF BOND CONDITIONS,1,1,1,1,1
78617,VIOL OF EMERG PROTECTIVE ORDER,8,8,8,8,8
78617,VIOL OF PROTECTIVE ORDER,6,6,6,6,6
78617,VIOL STATE LAW - OTHER,2,2,2,2,2
78617,WARRANT ARREST NON TRAFFIC,5,5,5,5,5
78641,DAMAGE CITY VEHICLE,1,1,1,1,1
78641,POSS OF FIREARM BY FELON,1,1,1,1,1
78652,AGG ASLT STRANGLE/SUFFOCATE,2,2,2,2,2
78652,ASSAULT BY CONTACT FAM/DATING,1,1,1,1,1
78652,ASSAULT BY THREAT,1,1,1,1,1
78652,ASSAULT W/INJURY-FAM/DATE VIOL,2,2,2,2,2
78652,BREACH OF COMPUTER SECURITY,1,1,1,1,1
78652,BURGLARY OF RESIDENCE,3,3,3,3,3
78652,BURGLARY OF VEH-NO SUSPECT/FU,3,3,3,3,3
78652,BURGLARY OF VEHICLE,4,4,4,4,4
78652,CHILD CUSTODY INTERFERE,1,1,1,1,1
78652,CRIMINAL MISCHIEF,3,3,3,3,3
78652,DAMAGE CITY VEHICLE,1,1,1,1,1
78652,DATING DISTURBANCE,1,1,1,1,1
78652,DEBIT CARD ABUSE,2,2,2,2,2
78652,DISTURBANCE - OTHER,2,2,2,2,2
78652,DOC EXPOSURE,1,1,1,1,1
78652,DWI,1,1,1,1,1
78652,FAILURE TO IDENTIFY,1,1,1,1,1
78652,FAMILY DISTURBANCE,17,17,17,17,17
78652,FRAUD - OTHER,3,3,3,3,3
78652,HARASSMENT,1,1,1,1,1
78652,IDENTITY THEFT,3,3,3,3,3
78652,POSSESSION OF MARIJUANA,1,1,1,1,1
78652,RUNAWAY CHILD,1,1,1,1,1
78652,SUSPICIOUS PERSON,3,3,3,3,3
78652,THEFT,5,5,5,5,5
78652,UNLAWFUL CARRYING WEAPON,1,1,1,1,1
78653,AGG ASLT STRANGLE/SUFFOCATE,2,2,2,2,2
78653,AGG ASLT W/MOTOR VEH FAM/DAT V,1,1,1,1,1
78653,AGG ASSAULT,2,2,2,2,2
78653,AGG ASSAULT FAM/DATE VIOLENCE,1,1,1,1,1
78653,AGG ROBBERY/DEADLY WEAPON,1,1,1,1,1
78653,ASSAULT BY CONTACT,4,4,4,4,4
78653,ASSAULT BY THREAT,4,4,4,4,4
78653,ASSAULT ON PEACE OFFICER,1,1,1,1,1
78653,ASSAULT W/INJURY-FAM/DATE VIOL,9,9,9,9,9
78653,ASSAULT WITH INJURY,3,3,3,3,3
78653,AUTO THEFT,10,10,10,10,10
78653,BURGLARY NON RESIDENCE,1,1,1,1,1
78653,BURGLARY OF RESIDENCE,3,3,3,3,3
78653,BURGLARY OF VEH-NO SUSPECT/FU,5,5,5,5,5
78653,BURGLARY OF VEHICLE,15,15,15,15,15
78653,CHILD CUSTODY INTERFERE,4,4,4,4,4
78653,CRASH/FAIL STOP AND RENDER AID,2,2,2,2,2
78653,CRED CARD ABUSE - OTHER,8,8,8,8,8
78653,CRIMINAL MISCHIEF,5,5,5,5,5
78653,CRIMINAL TRESPASS,1,1,1,1,1
78653,DAMAGE CITY PROP,1,1,1,1,1
78653,DATING DISTURBANCE,6,6,6,6,6
78653,DEADLY CONDUCT,2,2,2,2,2
78653,DEBIT CARD ABUSE,2,2,2,2,2
78653,DEL CONTROLLED SUB/SYN NARC,1,1,1,1,1
78653,DISTURBANCE - OTHER,2,2,2,2,2
78653,DOC DISCHARGE GUN - PUB PLACE,1,1,1,1,1
78653,DOC DISPLAY GUN/DEADLY PUB PLC,1,1,1,1,1
78653,DRIVING WHILE INTOX / FELONY,2,2,2,2,2
78653,DWI,6,6,6,6,6
78653,DWI  .15 BAC OR ABOVE,1,1,1,1,1
78653,DWI 2ND,3,3,3,3,3
78653,EXPLOSIVE ORDNANCE DISPOSAL,1,1,1,1,1
78653,FAMILY DISTURBANCE,24,24,24,24,24
78653,FAMILY DISTURBANCE/PARENTAL,5,5,5,5,5
78653,FRAUD - OTHER,4,4,4,4,4
78653,HARASSMENT,2,2,2,2,2
78653,HARASSMENT ONLINE,1,1,1,1,1
78653,IDENTITY THEFT,3,3,3,3,3
78653,MAIL THEFT,1,1,1,1,1
78653,MURDER,1,1,1,1,1
78653,POSS CONTROLLED SUB/NARCOTIC,3,3,3,3,3
78653,POSS CONTROLLED SUB/OTHER,2,2,2,2,2
78653,POSS OF DRUG PARAPHERNALIA,1,1,1,1,1
78653,POSS OF FIREARM BY FELON,1,1,1,1,1
78653,POSSESSION OF MARIJUANA,1,1,1,1,1
78653,PROTECTIVE ORDER,1,1,1,1,1
78653,PUBLIC INTOXICATION,1,1,1,1,1
78653,RUNAWAY CHILD,4,4,4,4,4
78653,SUSPICIOUS PERSON,1,1,1,1,1
78653,TERRORISTIC THREAT,1,1,1,1,1
78653,THEFT,14,14,14,14,14
78653,THEFT BY SHOPLIFTING,4,4,4,4,4
78653,THEFT CATALYTIC CONVERTER,2,2,2,2,2
78653,THEFT FROM AUTO,1,1,1,1,1
78653,THEFT OF AUTO PARTS,1,1,1,1,1
78653,THEFT OF SERVICE,1,1,1,1,1
78653,THEFT OF TRAILER,1,1,1,1,1
78653,THEFT-NO SUSPECT/FOLLOWUP,1,1,1,1,1
78653,UNLAWFUL CARRYING WEAPON,1,1,1,1,1
78653,VIOL CITY ORDINANCE - OTHER,1,1,1,1,1
78653,VIOL CITY ORDINANCE - WRECKER,1,1,1,1,1
78653,VIOL OF PROTECTIVE ORDER,1,1,1,1,1
78653,WARRANT ARREST NON TRAFFIC,1,1,1,1,1
78660,ABUSE OF 911,1,1,1,1,1
78660,AGG ASLT ENHANC STRANGL/SUFFOC,1,1,1,1,1
78660,AGG ASLT STRANGLE/SUFFOCATE,15,15,15,15,15
78660,AGG ASSAULT,19,19,19,19,19
78660,AGG ASSAULT FAM/DATE VIOLENCE,9,9,9,9,9
78660,AGG ROBBERY BY ASSAULT,1,1,1,1,1
78660,AGG ROBBERY/DEADLY WEAPON,11,11,11,11,11
78660,ASSAULT BY CONTACT,18,18,18,18,18
78660,ASSAULT BY CONTACT FAM/DATING,30,30,30,30,30
78660,ASSAULT BY THREAT,23,23,23,23,23
78660,ASSAULT BY THREAT FAM/DATING,6,6,6,6,6
78660,ASSAULT OF PREGNANT WM-FAM/DAT,1,1,1,1,1
78660,ASSAULT W/INJURY-FAM/DATE VIOL,74,74,74,74,74
78660,ASSAULT WITH INJURY,33,33,33,33,33
78660,AUTO THEFT,78,78,78,78,78
78660,BREACH OF COMPUTER SECURITY,1,1,1,1,1
78660,BURG OF RES - FAM/DATING ASLT,1,1,1,1,1
78660,BURGLARY NON RESIDENCE,19,19,19,19,19
78660,BURGLARY OF COIN-OP MACHINE,1,1,1,1,1
78660,BURGLARY OF RESIDENCE,26,26,26,26,26
78660,BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,10,10,10,10,10
78660,BURGLARY OF VEH-NO SUSPECT/FU,56,56,56,56,56
78660,BURGLARY OF VEHICLE,134,134,134,134,134
78660,CHILD CUSTODY INTERFERE,18,18,18,18,18
78660,CHILD ENDANGERMENT- ABANDONMEN,2,2,2,2,2
78660,CIVIL DISTURBANCE/DEMO,2,2,2,2,2
78660,COUNTERFEITING,2,2,2,2,2
78660,CRASH/FAIL STOP AND RENDER AID,14,14,14,14,14
78660,CRASH/INTOXICATION ASSAULT,1,1,1,1,1
78660,CRED CARD ABUSE - OTHER,12,12,12,12,12
78660,CRIMINAL MISCHIEF,74,74,74,74,74
78660,CRIMINAL MISCHIEF-NO SUSPECT,7,7,7,7,7
78660,CRIMINAL TRESPASS,10,10,10,10,10
78660,CRIMINAL TRESPASS/IN VEHICLE,1,1,1,1,1
78660,CUSTODY ARREST TRAFFIC WARR,3,3,3,3,3
78660,DAMAGE CITY PROP,2,2,2,2,2
78660,DAMAGE CITY VEHICLE,1,1,1,1,1
78660,DATING DISTURBANCE,29,29,29,29,29
78660,DEADLY CONDUCT,11,11,11,11,11
78660,DEADLY CONDUCT FAM/DATE VIOL,1,1,1,1,1
78660,DEBIT CARD ABUSE,14,14,14,14,14
78660,DISTURBANCE - OTHER,51,51,51,51,51
78660,DOC DISPLAY GUN/DEADLY PUB PLC,2,2,2,2,2
78660,DOC FIGHTING,2,2,2,2,2
78660,DOC OFFENSIVE GESTURE,1,1,1,1,1
78660,DRIVING WHILE INTOX / FELONY,1,1,1,1,1
78660,DWI,25,25,25,25,25
78660,DWI  .15 BAC OR ABOVE,8,8,8,8,8
78660,DWI - CHILD PASSENGER,3,3,3,3,3
78660,DWI - DRUG RECOGNITION EXPERT,1,1,1,1,1
78660,DWI 2ND,6,6,6,6,6
78660,EVADING / FOOT,1,1,1,1,1
78660,EVADING VEHICLE,3,3,3,3,3
78660,EXPLOSIVE ORDNANCE DISPOSAL,2,2,2,2,2
78660,FAILURE TO IDENTIFY,1,1,1,1,1
78660,FALSE ALARM OR REPORT,1,1,1,1,1
78660,FALSE REPORT TO PEACE OFFICER,1,1,1,1,1
78660,FAMILY DISTURBANCE,204,204,204,204,204
78660,FAMILY DISTURBANCE/PARENTAL,14,14,14,14,14
78660,FELONY ENHANCEMENT/ASSLT W/INJ,2,2,2,2,2
78660,FORGERY - OTHER,1,1,1,1,1
78660,FORGERY AND PASSING,8,8,8,8,8
78660,FORGERY BY ALTERATION,2,2,2,2,2
78660,FRAUD - OTHER,23,23,23,23,23
78660,FRAUD-CARD SKIMMER,1,1,1,1,1
78660,GRAFFITI,1,1,1,1,1
78660,HARASSMENT,49,49,49,49,49
78660,HINDER SECURED CREDITORS,1,1,1,1,1
78660,IDENTITY THEFT,26,26,26,26,26
78660,INDECENT ASSAULT,1,1,1,1,1
78660,INDECENT EXPOSURE,2,2,2,2,2
78660,INJ TO ELDERLY   FAM/DATE VIOL,2,2,2,2,2
78660,INJURY TO CHILD,2,2,2,2,2
78660,MAIL THEFT,11,11,11,11,11
78660,MURDER,1,1,1,1,1
78660,ONLINE IMPERSONATION,2,2,2,2,2
78660,POSS CONTROLLED SUB/NARCOTIC,6,6,6,6,6
78660,POSS CONTROLLED SUB/OTHER,1,1,1,1,1
78660,POSS OF DRUG PARAPHERNALIA,1,1,1,1,1
78660,POSS OF FIREARM BY FELON,3,3,3,3,3
78660,POSS/PROMO CHILD PORNOGRAPHY,2,2,2,2,2
78660,POSSESSION OF MARIJUANA,8,8,8,8,8
78660,PROTECTIVE ORDER,2,2,2,2,2
78660,PUBLIC INTOX-SOBERING CENTER,1,1,1,1,1
78660,PUBLIC INTOXICATION,9,9,9,9,9
78660,RECKLESS DAMAGE,1,1,1,1,1
78660,REPEAT RUNAWAY,1,1,1,1,1
78660,RESISTING ARREST OR SEARCH,3,3,3,3,3
78660,ROBBERY BY ASSAULT,4,4,4,4,4
78660,RUNAWAY CHILD,11,11,11,11,11
78660,SUSPICIOUS PERSON,16,16,16,16,16
78660,TERRORISTIC THREAT,4,4,4,4,4
78660,TERRORISTIC THREAT-FAM/DAT VIO,4,4,4,4,4
78660,TERRORISTIC THREAT-MASS CASLTY,1,1,1,1,1
78660,THEFT,81,81,81,81,81
78660,THEFT BY CHECK,1,1,1,1,1
78660,THEFT BY EMBEZZLEMENT,1,1,1,1,1
78660,THEFT BY SHOPLIFTING,78,78,78,78,78
78660,THEFT CATALYTIC CONVERTER,25,25,25,25,25
78660,THEFT FROM AUTO,9,9,9,9,9
78660,THEFT FROM BUILDING,3,3,3,3,3
78660,THEFT FROM PERSON,1,1,1,1,1
78660,THEFT OF AUTO PARTS,2,2,2,2,2
78660,THEFT OF BICYCLE,7,7,7,7,7
78660,THEFT OF HEAVY EQUIPMENT,1,1,1,1,1
78660,THEFT OF LICENSE PLATE,20,20,20,20,20
78660,THEFT OF METAL,2,2,2,2,2
78660,THEFT OF SERVICE,5,5,5,5,5
78660,THEFT OF TRAILER,5,5,5,5,5
78660,THEFT- APPROPRIATE STOLEN PROP,1,1,1,1,1
78660,THEFT-NO SUSPECT/FOLLOWUP,1,1,1,1,1
78660,UNLAWFUL CARRYING WEAPON,4,4,4,4,4
78660,VIOL CITY ORDINANCE - DOG,1,1,1,1,1
78660,VIOL CITY ORDINANCE - OTHER,1,1,1,1,1
78660,VIOL CITY ORDINANCE - WRECKER,1,1,1,1,1
78660,VIOL OF PROTECTIVE ORDER,7,7,7,7,7
78660,VIOL STATE LAW - OTHER,2,2,2,2,2
78660,VIOL TEMP EX PARTE  ORDER,1,1,1,1,1
78660,WARRANT ARREST NON TRAFFIC,1,1,1,1,1
78664,BURGLARY OF VEHICLE,1,1,1,1,1
78664,IDENTITY THEFT,2,2,2,2,2
78664,POSS OF DRUG PARAPHERNALIA,1,1,1,1,1
78665,ASSAULT W/INJURY-FAM/DATE VIOL,1,1,1,1,1
78665,DAMAGE CITY PROP,1,1,1,1,1
78665,EXPLOSIVE ORDNANCE DISPOSAL,1,1,1,1,1
78665,POSS CONTROLLED SUB/NARCOTIC,1,1,1,1,1
78681,ASSAULT W/INJURY-FAM/DATE VIOL,1,1,1,1,1
78681,AUTO THEFT,1,1,1,1,1
78681,DWI,2,2,2,2,2
78681,EXPLOSIVE ORDNANCE DISPOSAL,1,1,1,1,1
78681,IDENTITY THEFT,1,1,1,1,1
78681,POSS CONTROLLED SUB/NARCOTIC,2,2,2,2,2
78681,POSS OF FIREARM BY FELON,1,1,1,1,1
78701,ABUSE OF 911,5,5,5,5,5
78701,AGG ASLT ENHANC STRANGL/SUFFOC,5,5,5,5,5
78701,AGG ASLT STRANGLE/SUFFOCATE,39,39,39,39,39
78701,AGG ASLT W/MOTOR VEH FAM/DAT V,1,1,1,1,1
78701,AGG ASSAULT,226,226,226,226,226
78701,AGG ASSAULT FAM/DATE VIOLENCE,13,13,13,13,13
78701,AGG ASSAULT ON PEACE OFFICER,17,17,17,17,17
78701,AGG ASSAULT ON PUBLIC SERVANT,4,4,4,4,4
78701,AGG ASSAULT WITH MOTOR VEH,4,4,4,4,4
78701,AGG ROBBERY BY ASSAULT,2,2,2,2,2
78701,AGG ROBBERY/DEADLY WEAPON,37,37,37,37,37
78701,AIRPORT - CRIMINAL TRESPASS,1,1,1,1,1
78701,APPLIC TO REVOKE PROBATION,2,2,2,2,2
78701,ARSON,13,13,13,13,13
78701,ASSAULT BY CONTACT,320,320,320,320,320
78701,ASSAULT BY CONTACT FAM/DATING,36,36,36,36,36
78701,ASSAULT BY THREAT,134,134,134,134,134
78701,ASSAULT BY THREAT FAM/DATING,4,4,4,4,4
78701,ASSAULT OF A PREGNANT WOMAN,2,2,2,2,2
78701,ASSAULT OF PREGNANT WM-FAM/DAT,2,2,2,2,2
78701,ASSAULT ON PEACE OFFICER,40,40,40,40,40
78701,ASSAULT ON PUBLIC SERVANT,27,27,27,27,27
78701,ASSAULT W/INJURY-FAM/DATE VIOL,149,149,149,149,149
78701,ASSAULT WITH INJURY,698,698,698,698,698
78701,AUTO THEFT,263,263,263,263,263
78701,BOMB THREAT,7,7,7,7,7
78701,BREACH OF COMPUTER SECURITY,26,26,26,26,26
78701,BURGLARY NON RESIDENCE,197,197,197,197,197
78701,BURGLARY OF COIN-OP MACHINE,1,1,1,1,1
78701,BURGLARY OF RESIDENCE,41,41,41,41,41
